Course,Tee,Par,Scr,Slope,Holes
Aberdeen Golf Club (NSW),Red Women - Holes:1-9,35,35,106,9
Aberdeen Golf Club (NSW),Red Women - Holes:10-18,35,35,110,9
Aberdeen Golf Club (NSW),White Men - Holes:1-9,35,33,111,9
Aberdeen Golf Club (NSW),White Men - Holes:10-18,35,33,114,9
Aberdeen Golf Club (NSW),Red Women,70,70,108,18
Aberdeen Golf Club (NSW),White Men,70,66,113,18
Adelong Golf Club (NSW),Red Women - Holes:1-9,35,34.5,110,9
Adelong Golf Club (NSW),Red Women - Holes:10-18,35,35,110,9
Adelong Golf Club (NSW),White Men - Holes:1-9,35,34.5,109,9
Adelong Golf Club (NSW),White Men - Holes:10-18,35,34.5,109,9
Adelong Golf Club (NSW),Red Women,70,70,114,18
Adelong Golf Club (NSW),White Men,70,68,109,18
Albert Golf Club (NSW),Blue Men - Holes:1-9,35,35,112,9
Albert Golf Club (NSW),Blue Men - Holes:10-18,35,35,112,9
Albert Golf Club (NSW),Red Women - Holes:1-9,35,35.5,114,9
Albert Golf Club (NSW),Red Women - Holes:10-18,35,36,114,9
Albert Golf Club (NSW),Blue Men,70,67,112,18
Albert Golf Club (NSW),Red Women,70,68,114,18
Antill Park Country Golf Club Ltd (NSW),Blue Men - Holes:1-9,35,34.5,122,9
Antill Park Country Golf Club Ltd (NSW),Blue Men - Holes:10-18,35,35.5,129,9
Antill Park Country Golf Club Ltd (NSW),Pink Women - Holes:1-9,35,35,124,9
Antill Park Country Golf Club Ltd (NSW),Red Women - Holes:1-9,35,36,132,9
Antill Park Country Golf Club Ltd (NSW),White Men - Holes:1-9,35,34,123,9
Antill Park Country Golf Club Ltd (NSW),White Men - Holes:10-18,35,35,125,9
Antill Park Country Golf Club Ltd (NSW),Yellow Men - Holes:1-9,35,33,115,9
Antill Park Country Golf Club Ltd (NSW),Yellow Men - Holes:10-18,35,33.5,112,9
Antill Park Country Golf Club Ltd (NSW),Pink Women - Holes:10-18,36,35.5,115,9
Antill Park Country Golf Club Ltd (NSW),Red Women - Holes:10-18,36,36.5,117,9
Antill Park Country Golf Club Ltd (NSW),Blue Men,70,70,126,18
Antill Park Country Golf Club Ltd (NSW),White Men,70,69,124,18
Antill Park Country Golf Club Ltd (NSW),Yellow Men,70,66,114,18
Antill Park Country Golf Club Ltd (NSW),Pink Women,71,71,120,18
Antill Park Country Golf Club Ltd (NSW),Red Women,71,73,125,18
Ariah Park Golf Club (NSW),Blue Men - Holes:1-9,35,33.5,105,9
Ariah Park Golf Club (NSW),Blue Men - Holes:10-18,35,33.5,105,9
Ariah Park Golf Club (NSW),Red Women - Holes:1-9,35,35,112,9
Ariah Park Golf Club (NSW),Red Women - Holes:10-18,35,35.5,112,9
Ariah Park Golf Club (NSW),Blue Men,70,67,105,18
Ariah Park Golf Club (NSW),Red Women,70,69,112,18
Armidale Golf Club (NSW),Blue Men - Holes:1-9,36,36,126,9
Armidale Golf Club (NSW),Blue Men - Holes:10-18,36,35.5,127,9
Armidale Golf Club (NSW),Red Women - Holes:10-18,36,37,131,9
Armidale Golf Club (NSW),White Men - Holes:1-9,36,35.5,121,9
Armidale Golf Club (NSW),White Men - Holes:10-18,36,35,121,9
Armidale Golf Club (NSW),Red Women - Holes:1-9,37,37.5,129,9
Armidale Golf Club (NSW),Blue Men,72,72,127,18
Armidale Golf Club (NSW),White Men,72,70,121,18
Armidale Golf Club (NSW),Red Women,73,74,130,18
Ashford Golf Club (NSW),White Men - Holes:10-18,33,33,104,9
Ashford Golf Club (NSW),White Men - Holes:1-9,34,34,104,9
Ashford Golf Club (NSW),Red Women - Holes:1-9,35,34.5,109,9
Ashford Golf Club (NSW),Red Women - Holes:10-18,35,34.5,109,9
Ashford Golf Club (NSW),White Men,67,65,104,18
Ashford Golf Club (NSW),Red Women,70,69,109,18
Asquith Golf Club (NSW),Blue Men - Holes:1-9,35,35,129,9
Asquith Golf Club (NSW),Blue Men - Holes:10-18,35,35,138,9
Asquith Golf Club (NSW),Red Women - Holes:1-9,35,36.5,134,9
Asquith Golf Club (NSW),White Men - Holes:1-9,35,33.5,129,9
Asquith Golf Club (NSW),White Men - Holes:10-18,35,34.5,132,9
Asquith Golf Club (NSW),Yellow Men - Holes:1-9,35,32.5,125,9
Asquith Golf Club (NSW),Yellow Men - Holes:10-18,35,32.5,123,9
Asquith Golf Club (NSW),Yellow Women - Holes:1-9,35,35.5,128,9
Asquith Golf Club (NSW),Red Women - Holes:10-18,36,37,140,9
Asquith Golf Club (NSW),Yellow Women - Holes:10-18,36,35,133,9
Asquith Golf Club (NSW),Blue Men,70,70,134,18
Asquith Golf Club (NSW),White Men,70,68,131,18
Asquith Golf Club (NSW),Yellow Men,70,65,124,18
Asquith Golf Club (NSW),Red Women,71,73,137,18
Asquith Golf Club (NSW),Yellow Women,71,70,131,18
Avalon Golf Course (NSW),Men (9 Hole Rating) - Course:Blue,32,31,103,9
Avalon Golf Course (NSW),Blue Men,64,61,103,18
Avalon Ladies Golf Club (NSW),Red Women - Holes:1-9,32,31,111,9
Avalon Ladies Golf Club (NSW),Red Women - Holes:10-18,32,31,111,9
Avalon Ladies Golf Club (NSW),Red Women,64,62,111,18
Avondale Golf Club (NSW),Black Men - Holes:10-18,35,36,135,9
Avondale Golf Club (NSW),Blue Men - Holes:10-18,35,36,135,9
Avondale Golf Club (NSW),White Men - Holes:10-18,35,35.5,127,9
Avondale Golf Club (NSW),Yellow Men - Holes:10-18,35,33.5,119,9
Avondale Golf Club (NSW),Black Men - Holes:1-9,36,36,130,9
Avondale Golf Club (NSW),Blue Men - Holes:1-9,36,35.5,128,9
Avondale Golf Club (NSW),Red Women - Holes:1-9,36,37,126,9
Avondale Golf Club (NSW),Red Women - Holes:10-18,36,37,126,9
Avondale Golf Club (NSW),White Men - Holes:1-9,36,35,125,9
Avondale Golf Club (NSW),Yellow Men - Holes:1-9,36,34,119,9
Avondale Golf Club (NSW),Yellow Women - Holes:1-9,36,37,129,9
Avondale Golf Club (NSW),Yellow Women - Holes:10-18,36,36,123,9
Avondale Golf Club (NSW),Men TEMP - Course:White,69,69,123,18
Avondale Golf Club (NSW),Men TEMP - Course:Yellow,69,66,115,18
Avondale Golf Club (NSW),Men TEMP,70,70,123,18
Avondale Golf Club (NSW),Men TEMP - Course:Yellow 13 out,70,67,116,18
Avondale Golf Club (NSW),Men TEMP 13 out - Course:Black,70,71,130,18
Avondale Golf Club (NSW),Women TEMP - Course:Red,70,72,121,18
Avondale Golf Club (NSW),Black Men,71,72,133,18
Avondale Golf Club (NSW),Blue Men,71,72,132,18
Avondale Golf Club (NSW),White Men,71,71,126,18
Avondale Golf Club (NSW),Women TEMP - Course:Red 13 out,71,73,123,18
Avondale Golf Club (NSW),Women TEMP - Course:White,71,75,129,18
Avondale Golf Club (NSW),Yellow Men,71,68,119,18
Avondale Golf Club (NSW),Red Women,72,74,126,18
Avondale Golf Club (NSW),White Women,72,76,132,18
Avondale Golf Club (NSW),Yellow Women,72,73,126,18
Balgowlah Golf Club (NSW),Blue Men - Holes:1-9,33,32,115,9
Balgowlah Golf Club (NSW),Blue Men - Holes:10-18,33,32,115,9
Balgowlah Golf Club (NSW),White Men - Holes:1-9,33,32,111,9
Balgowlah Golf Club (NSW),White Men - Holes:10-18,33,31.5,112,9
Balgowlah Golf Club (NSW),Red Women - Holes:1-9,34,33.5,112,9
Balgowlah Golf Club (NSW),Red Women - Holes:10-18,34,34,114,9
Balgowlah Golf Club (NSW),Blue Men,66,64,115,18
Balgowlah Golf Club (NSW),White Men,66,64,112,18
Balgowlah Golf Club (NSW),Red Women,68,67,113,18
Ballina Golf & Sports Club (NSW),Black Men - Holes:1-9,35,35.5,125,9
Ballina Golf & Sports Club (NSW),Black Men - Holes:10-18,35,35.5,127,9
Ballina Golf & Sports Club (NSW),Blue Men - Holes:1-9,35,35.5,124,9
Ballina Golf & Sports Club (NSW),Green Men - Holes:1-9,35,34.5,117,9
Ballina Golf & Sports Club (NSW),White Men - Holes:1-9,35,35,116,9
Ballina Golf & Sports Club (NSW),Gold Women - Holes:1-9,36,36,118,9
Ballina Golf & Sports Club (NSW),Gold Women - Holes:10-18,36,35,118,9
Ballina Golf & Sports Club (NSW),Red Women - Holes:1-9,36,36.5,121,9
Ballina Golf & Sports Club (NSW),Red Women - Holes:10-18,36,37,125,9
Ballina Golf & Sports Club (NSW),Blue Men - Holes:10-18,37,36.5,131,9
Ballina Golf & Sports Club (NSW),Green Men - Holes:10-18,37,35.5,121,9
Ballina Golf & Sports Club (NSW),White Men - Holes:10-18,37,36,125,9
Ballina Golf & Sports Club (NSW),Black Men,70,71,127,18
Ballina Golf & Sports Club (NSW),Blue Men,72,72,128,18
Ballina Golf & Sports Club (NSW),Gold Women,72,71,118,18
Ballina Golf & Sports Club (NSW),Green Men,72,70,119,18
Ballina Golf & Sports Club (NSW),Red Women,72,73,123,18
Ballina Golf & Sports Club (NSW),White Men,72,71,121,18
Balranald Golf Club (NSW),Red Women - Holes:1-9,36,36.5,114,9
Balranald Golf Club (NSW),Red Women - Holes:10-18,36,36.5,111,9
Balranald Golf Club (NSW),White Men - Holes:1-9,36,34.5,111,9
Balranald Golf Club (NSW),White Men - Holes:10-18,36,35,109,9
Balranald Golf Club (NSW),Red Women,72,73,113,18
Balranald Golf Club (NSW),White Men,72,69,110,18
Bankstown Golf Club (NSW),Black Men - Holes:10-18,35,35.5,123,9
Bankstown Golf Club (NSW),Blue Men - Holes:10-18,35,35,119,9
Bankstown Golf Club (NSW),White Men - Holes:10-18,35,34.5,115,9
Bankstown Golf Club (NSW),Black Men - Holes:1-9,36,36.5,125,9
Bankstown Golf Club (NSW),Blue Men - Holes:1-9,36,36,126,9
Bankstown Golf Club (NSW),Gold Women - Holes:1-9,36,36.5,123,9
Bankstown Golf Club (NSW),Gold Women - Holes:10-18,36,35,117,9
Bankstown Golf Club (NSW),Red Women - Holes:1-9,36,37.5,125,9
Bankstown Golf Club (NSW),White Men - Holes:1-9,36,35.5,128,9
Bankstown Golf Club (NSW),Red Women - Holes:10-18,37,36,126,9
Bankstown Golf Club (NSW),Black Men,71,72,124,18
Bankstown Golf Club (NSW),Blue Men,71,71,123,18
Bankstown Golf Club (NSW),White Men,71,70,122,18
Bankstown Golf Club (NSW),Gold Women,72,71,120,18
Bankstown Golf Club (NSW),Red Women,72,74,128,18
Bardwell Valley Golf Club (NSW),Blue Men - Holes:1-9,31,31,107,9
Bardwell Valley Golf Club (NSW),Blue Men - Holes:10-18,31,32,110,9
Bardwell Valley Golf Club (NSW),Red Women - Holes:1-9,32,32,117,9
Bardwell Valley Golf Club (NSW),Red Women - Holes:10-18,33,33.5,116,9
Bardwell Valley Golf Club (NSW),Blue Men,62,63,109,18
Bardwell Valley Golf Club (NSW),Red Women,65,66,117,18
Barham Golf Club (NSW),Blue Men - Holes:10-18,36,35.5,117,9
Barham Golf Club (NSW),Red Women - Holes:10-18,36,36.5,119,9
Barham Golf Club (NSW),White Men 10-18,36,35,115,9
Barham Golf Club (NSW),Blue Men - Holes:1-9,37,37,137,9
Barham Golf Club (NSW),White Men 1-9,37,36.5,136,9
Barham Golf Club (NSW),Red Women - Holes:1-9,38,38.5,136,9
Barham Golf Club (NSW),Blue Men,73,72,127,18
Barham Golf Club (NSW),White Men,73,71,125,18
Barham Golf Club (NSW),Red Women,74,75,128,18
Barnwell Park Golf Club (NSW),Blue Men - Holes:10-18,29,29,102,9
Barnwell Park Golf Club (NSW),Red Women - Holes:10-18,29,29,99,9
Barnwell Park Golf Club (NSW),Blue Men - Holes:1-9,32,31.5,108,9
Barnwell Park Golf Club (NSW),Red Women - Holes:1-9,33,32.5,111,9
Barnwell Park Golf Club (NSW),M,59,59,101,18
Barnwell Park Golf Club (NSW),M,60,60,100,18
Barnwell Park Golf Club (NSW),Blue Men,61,60,105,18
Barnwell Park Golf Club (NSW),Red Women,62,62,105,18
Barraba Golf Club (NSW),Red Women - Holes:1-9,35,36.5,117,9
Barraba Golf Club (NSW),White Men - Holes:10-18,35,35,113,9
Barraba Golf Club (NSW),Red Women - Holes:10-18,36,36.5,117,9
Barraba Golf Club (NSW),White Men - Holes:1-9,36,35,113,9
Barraba Golf Club (NSW),Red Women,71,71,117,18
Barraba Golf Club (NSW),White Men,71,69,112,18
Bathurst Golf Club (NSW),Blue Men - Holes:10-18,35,36,135,9
Bathurst Golf Club (NSW),White Men - Holes:10-18,35,35,129,9
Bathurst Golf Club (NSW),Blue Men - Holes:1-9,36,36.5,137,9
Bathurst Golf Club (NSW),Red Women - Holes:1-9,36,36.5,126,9
Bathurst Golf Club (NSW),Red Women - Holes:10-18,36,36.5,128,9
Bathurst Golf Club (NSW),White Men - Holes:1-9,36,36,135,9
Bathurst Golf Club (NSW),Blue Men,71,72,136,18
Bathurst Golf Club (NSW),White Men,71,71,132,18
Bathurst Golf Club (NSW),Red Women,72,73,127,18
Batlow Golf Club (NSW),White Men - Holes:1-9,35,34.5,110,9
Batlow Golf Club (NSW),White Men - Holes:10-18,35,34.5,110,9
Batlow Golf Club (NSW),Red Women - Holes:1-9,36,36.5,117,9
Batlow Golf Club (NSW),Red Women - Holes:10-18,36,36.5,117,9
Batlow Golf Club (NSW),White Men,70,69,110,18
Batlow Golf Club (NSW),Red Women,72,72,117,18
Bayview Golf Club (NSW),Black Men - Holes:1-9,35,36,141,9
Bayview Golf Club (NSW),Black Men - Holes:10-18,35,34,127,9
Bayview Golf Club (NSW),Blue Men - Holes:1-9,35,35.5,132,9
Bayview Golf Club (NSW),Blue Men - Holes:10-18,35,33.5,127,9
Bayview Golf Club (NSW),White Men - Holes:1-9,35,35,131,9
Bayview Golf Club (NSW),White Men - Holes:10-18,35,32.5,122,9
Bayview Golf Club (NSW),Gold Women - Holes:10-18,36,34,118,9
Bayview Golf Club (NSW),Red Women - Course:(10-18) x 2 1-9,36,36,128,9
Bayview Golf Club (NSW),Red Women - Course:(10-18) x 2 10-18,36,36,128,9
Bayview Golf Club (NSW),Red Women - Holes:10-18,36,35,126,9
Bayview Golf Club (NSW),Gold Women - Holes:1-9,37,37.5,137,9
Bayview Golf Club (NSW),Red Women - Holes:1-9,37,38,140,9
Bayview Golf Club (NSW),Men TEMP - Course:Black,69,69,132,18
Bayview Golf Club (NSW),Men TEMP - Course:Blue,69,68,128,18
Bayview Golf Club (NSW),Black Men,70,70,134,18
Bayview Golf Club (NSW),Blue Men,70,69,130,18
Bayview Golf Club (NSW),White Men,70,68,127,18
Bayview Golf Club (NSW),Red Women - Course:(10-18) x 2,72,72,128,18
Bayview Golf Club (NSW),Women TEMP - Course:Gold,72,71,127,18
Bayview Golf Club (NSW),Women TEMP - Course:Red,72,72,131,18
Bayview Golf Club (NSW),Gold Women,73,71,128,18
Bayview Golf Club (NSW),Red Women,73,73,133,18
Bega Country Club (NSW),Red Women - Holes:10-18,35,35.5,115,9
Bega Country Club (NSW),Yellow Women - Holes:10-18,35,35,114,9
Bega Country Club (NSW),Blue Men - Holes:1-9,36,36,126,9
Bega Country Club (NSW),Blue Men - Holes:10-18,36,34,118,9
Bega Country Club (NSW),White Men - Holes:1-9,36,34.5,126,9
Bega Country Club (NSW),White Men - Holes:10-18,36,33,115,9
Bega Country Club (NSW),Red Women - Holes:1-9,37,37.5,135,9
Bega Country Club (NSW),Yellow Women - Holes:1-9,37,37,126,9
Bega Country Club (NSW),Blue Men,72,70,122,18
Bega Country Club (NSW),Red Women,72,73,125,18
Bega Country Club (NSW),White Men,72,67,121,18
Bega Country Club (NSW),Yellow Women,72,72,120,18
Bellata Golf Club (NSW),Red Women - Holes:1-9,35,35.5,112,9
Bellata Golf Club (NSW),Red Women - Holes:10-18,35,35.5,112,9
Bellata Golf Club (NSW),White Men - Holes:1-9,35,34.5,109,9
Bellata Golf Club (NSW),White Men - Holes:10-18,35,34.5,109,9
Bellata Golf Club (NSW),Red Women,70,69,112,18
Bellata Golf Club (NSW),White Men,70,67,109,18
Bellingen Golf Club (NSW),Red Women - Holes:1-9,35,35,120,9
Bellingen Golf Club (NSW),Red Women - Holes:10-18,35,35,116,9
Bellingen Golf Club (NSW),White Men - Holes:1-9,35,34,118,9
Bellingen Golf Club (NSW),White Men - Holes:10-18,35,34,116,9
Bellingen Golf Club (NSW),Red Women,70,70,118,18
Bellingen Golf Club (NSW),White Men,70,68,117,18
Belmont Golf Club (NSW),Black Men - Holes:1-9,36,36.5,133,9
Belmont Golf Club (NSW),Black Men - Holes:10-18,36,37,124,9
Belmont Golf Club (NSW),Blue Men - Holes:1-9,36,36,131,9
Belmont Golf Club (NSW),Blue Men - Holes:10-18,36,36.5,119,9
Belmont Golf Club (NSW),Red Women - Holes:10-18,36,37.5,131,9
Belmont Golf Club (NSW),White Women - Holes:10-18,36,38.5,138,9
Belmont Golf Club (NSW),Red Women - Holes:1-9,37,37.5,131,9
Belmont Golf Club (NSW),White Women - Holes:1-9,37,38.5,140,9
Belmont Golf Club (NSW),Black Men,72,74,129,18
Belmont Golf Club (NSW),Blue Men,72,72,125,18
Belmont Golf Club (NSW),Red Women,73,74,127,18
Belmont Golf Club (NSW),White Women,73,77,139,18
Beresfield Golf Club (NSW),White Men - Holes:10-18,33,32,116,9
Beresfield Golf Club (NSW),Men Wet 1-9 - Course:White,34,33,118,9
Beresfield Golf Club (NSW),White Men - Holes:1-9,34,32.5,118,9
Beresfield Golf Club (NSW),White Men,67,65,117,18
Beresfield Golf Club (NSW),Men Wet - Course:White,68,65,118,18
Beresfield Ladies Golf Club (NSW),Red Women - Holes:10-18,33,34.5,125,9
Beresfield Ladies Golf Club (NSW),Red Women - Holes:1-9,34,36,126,9
Beresfield Ladies Golf Club (NSW),Women Wet 1-9 - Course:Red,34,35,122,9
Beresfield Ladies Golf Club (NSW),Red Women,67,67,116,18
Beresfield Ladies Golf Club (NSW),Red Women Wet,68,70,122,18
Bermagui Country Club (NSW),Beige Women - Holes:1-9,36,37,126,9
Bermagui Country Club (NSW),Beige Women - Holes:10-18,36,36,121,9
Bermagui Country Club (NSW),Blue Men - Holes:1-9,36,37,137,9
Bermagui Country Club (NSW),Blue Men - Holes:10-18,36,36,129,9
Bermagui Country Club (NSW),Red Women - Holes:1-9,36,37.5,133,9
Bermagui Country Club (NSW),White Men - Holes:1-9,36,36.5,128,9
Bermagui Country Club (NSW),White Men - Holes:10-18,36,35,128,9
Bermagui Country Club (NSW),Yellow Men - Holes:1-9,36,36,121,9
Bermagui Country Club (NSW),Yellow Men - Holes:10-18,36,35,121,9
Bermagui Country Club (NSW),Red Women - Holes:10-18,37,37.5,139,9
Bermagui Country Club (NSW),Beige Women,72,73,124,18
Bermagui Country Club (NSW),Blue Men,72,73,133,18
Bermagui Country Club (NSW),White Men,72,72,128,18
Bermagui Country Club (NSW),Yellow Men,72,71,121,18
Bermagui Country Club (NSW),Red Women,73,75,136,18
Berrigan Golf and Bowling Club (NSW),Blue Men - Holes:1-9,36,35,116,9
Berrigan Golf and Bowling Club (NSW),Blue Men - Holes:10-18,36,35,116,9
Berrigan Golf and Bowling Club (NSW),Red Women - Holes:1-9,36,36.5,115,9
Berrigan Golf and Bowling Club (NSW),Red Women - Holes:10-18,36,36.5,118,9
Berrigan Golf and Bowling Club (NSW),Blue Men,72,70,116,18
Berrigan Golf and Bowling Club (NSW),Red Women,72,73,117,18
Beverley Park Golf Club (NSW),Blue Men - Holes:10-18,34,34,118,9
Beverley Park Golf Club (NSW),White Men - Holes:10-18,34,33.5,116,9
Beverley Park Golf Club (NSW),Red Women - Holes:10-18,35,37,127,9
Beverley Park Golf Club (NSW),Red/White Women - Holes:10-18,35,36,124,9
Beverley Park Golf Club (NSW),Blue Men - Holes:1-9,36,35,121,9
Beverley Park Golf Club (NSW),White Men - Holes:1-9,36,34.5,118,9
Beverley Park Golf Club (NSW),Red Women - Holes:1-9,38,37.5,131,9
Beverley Park Golf Club (NSW),Red/White Women - Holes:1-9,38,37,127,9
Beverley Park Golf Club (NSW),Men TEMP,61,61,108,18
Beverley Park Golf Club (NSW),Women TEMP - Course:Red,62,62,113,18
Beverley Park Golf Club (NSW),Blue Men,70,69,120,18
Beverley Park Golf Club (NSW),White Men,70,68,117,18
Beverley Park Golf Club (NSW),Red Women,73,74,129,18
Beverley Park Golf Club (NSW),Red/White Women,73,73,126,18
Bexley Golf Club (NSW),Blue Men - Holes:1-9,32,31,104,9
Bexley Golf Club (NSW),Blue Men - Holes:10-18,32,31,108,9
Bexley Golf Club (NSW),Red Women - Holes:1-9,32,33,103,9
Bexley Golf Club (NSW),Red Women - Holes:10-18,32,33,104,9
Bexley Golf Club (NSW),Blue Men,64,62,106,18
Bexley Golf Club (NSW),Red Women,64,66,104,18
Bigga Golf Club (NSW),Blue Men - Holes:1-9,35,32.5,101,9
Bigga Golf Club (NSW),Blue Men - Holes:10-18,35,32.5,101,9
Bigga Golf Club (NSW),Red Women - Holes:1-9,36,33.5,105,9
Bigga Golf Club (NSW),Red Women - Holes:10-18,36,33.5,105,9
Bigga Golf Club (NSW),Blue Men,70,62,101,18
Bigga Golf Club (NSW),Red Women,72,65,105,18
Binalong Golf Club Ltd (NSW),White Men - Holes:1-9,34,33.5,105,9
Binalong Golf Club Ltd (NSW),White Men - Holes:10-18,34,33.5,105,9
Binalong Golf Club Ltd (NSW),Red Women - Holes:1-9,35,35,111,9
Binalong Golf Club Ltd (NSW),Red Women - Holes:10-18,35,35,111,9
Binalong Golf Club Ltd (NSW),White Men,68,64,105,18
Binalong Golf Club Ltd (NSW),Red Women,70,68,111,18
Bingara Gorge Golf Course (NSW),Black Men - Holes:10 - 18,36,37.5,135,9
Bingara Gorge Golf Course (NSW),Blue Men - Holes:10 - 18,36,36,129,9
Bingara Gorge Golf Course (NSW),Red Women - Holes:10 - 18,36,36,123,9
Bingara Gorge Golf Course (NSW),White Men - Holes:10 - 18,36,35.5,118,9
Bingara Gorge Golf Course (NSW),Yellow Women - Holes:10 - 18,36,37,133,9
Bingara Gorge Golf Course (NSW),Black Men,72,75,135,18
Bingara Gorge Golf Course (NSW),Blue Men,72,72,129,18
Bingara Gorge Golf Course (NSW),Red Women,72,72,123,18
Bingara Gorge Golf Course (NSW),White Men,72,71,118,18
Bingara Gorge Golf Course (NSW),White/Blue Mens TEMP,72,72,123,18
Bingara Gorge Golf Course (NSW),Yellow Women,72,74,133,18
Bingara Sporting Club (NSW),White Men - Holes:1-9,33,33,104,9
Bingara Sporting Club (NSW),White Men - Holes:10-18,33,33,107,9
Bingara Sporting Club (NSW),Red Women - Holes:1-9,36,35.5,116,9
Bingara Sporting Club (NSW),Red Women - Holes:10-18,36,35.5,117,9
Bingara Sporting Club (NSW),White Men,66,66,106,18
Bingara Sporting Club (NSW),Red Women,72,71,117,18
Binnaway Golf Club (NSW),Blue Men - Holes:1-9,35,35,112,9
Binnaway Golf Club (NSW),Blue Men - Holes:10-18,35,35.5,112,9
Binnaway Golf Club (NSW),Red Women - Holes:1-9,37,34.5,112,9
Binnaway Golf Club (NSW),Blue Men,70,69,112,18
Binnaway Golf Club (NSW),Red Women,74,69,112,18
Blackheath Golf Club (NSW),Black Men - Holes:10-18,34,34,118,9
Blackheath Golf Club (NSW),Blue Men - Holes:10-18,34,34,115,9
Blackheath Golf Club (NSW),Red Women - Holes:10-18,34,35,123,9
Blackheath Golf Club (NSW),White Men - Holes:10-18,34,33,113,9
Blackheath Golf Club (NSW),Yellow Women - Holes:10-18,34,33.5,114,9
Blackheath Golf Club (NSW),Black Men - Holes:1-9,35,35,115,9
Blackheath Golf Club (NSW),Blue Men - Holes:1-9,35,34.5,117,9
Blackheath Golf Club (NSW),White Men - Holes:1-9,35,34.5,117,9
Blackheath Golf Club (NSW),Red Women - Holes:1-9,36,37,122,9
Blackheath Golf Club (NSW),Yellow Women - Holes:1-9,36,36.5,120,9
Blackheath Golf Club (NSW),Black Men,69,69,117,18
Blackheath Golf Club (NSW),Blue Men,69,68,116,18
Blackheath Golf Club (NSW),White Men,69,68,115,18
Blackheath Golf Club (NSW),Red Women,70,72,123,18
Blackheath Golf Club (NSW),Yellow Women,70,70,117,18
Blayney Golf Club (NSW),Blue Men - Holes:1-9,34,34,115,9
Blayney Golf Club (NSW),Blue Men - Holes:10-18,34,34,115,9
Blayney Golf Club (NSW),Red Women - Holes:1-9,35,35,116,9
Blayney Golf Club (NSW),Red Women - Holes:10-18,35,35,116,9
Blayney Golf Club (NSW),Blue Men,68,68,115,18
Blayney Golf Club (NSW),Red Women,70,70,116,18
Bogan Gate Golf Club (NSW),Blue Men - Holes:1-9,35,35,111,9
Bogan Gate Golf Club (NSW),Blue Men - Holes:10-18,36,35,111,9
Bogan Gate Golf Club (NSW),Red Women - Holes:1-9,36,36,115,9
Bogan Gate Golf Club (NSW),Red Women - Holes:10-18,36,36,115,9
Bogan Gate Golf Club (NSW),Blue Men,71,68,111,18
Bogan Gate Golf Club (NSW),Red Women,72,70,115,18
Boggabri Golf Club (NSW),Blue Men - Holes:1-9,35,35.5,113,9
Boggabri Golf Club (NSW),Blue Men - Holes:10-18,35,35.5,113,9
Boggabri Golf Club (NSW),Red Women - Holes:1-9,36,36,116,9
Boggabri Golf Club (NSW),Red Women - Holes:10-18,36,36,116,9
Boggabri Golf Club (NSW),Blue Men,70,71,113,18
Boggabri Golf Club (NSW),Red Women,72,72,116,18
Bombala Golf Club Ltd (NSW),White Men - Holes:1-9,35,34.5,110,9
Bombala Golf Club Ltd (NSW),White Men - Holes:10-18,36,34.5,110,9
Bombala Golf Club Ltd (NSW),Red Women - Holes:1-9,37,35.5,114,9
Bombala Golf Club Ltd (NSW),Red Women - Holes:10-18,37,35.5,114,9
Bombala Golf Club Ltd (NSW),White Men,71,69,110,18
Bombala Golf Club Ltd (NSW),Red Women,74,71,114,18
Bonalbo Golf Club (NSW),White Men - Holes:1-9,32,32,100,9
Bonalbo Golf Club (NSW),White Men - Holes:10-18,32,31.5,96,9
Bonalbo Golf Club (NSW),White Men,64,64,98,18
Bondi Golf Club (NSW),Black Men - Holes:1-9,28,27.5,95,9
Bondi Golf Club (NSW),Black Men - Holes:10-18,28,27.5,95,9
Bondi Golf Club (NSW),Red Women - Holes:1-9,28,29,95,9
Bondi Golf Club (NSW),Red Women - Holes:10-18,28,29,95,9
Bondi Golf Club (NSW),Black Men,56,55,95,18
Bondi Golf Club (NSW),Red Women,56,58,95,18
Bonnie Doon Golf Club (NSW),Black Men - Holes:10-18,34,34.5,126,9
Bonnie Doon Golf Club (NSW),Gold Men - Holes:10-18,34,31.5,112,9
Bonnie Doon Golf Club (NSW),White Men - Holes:10-18,34,33.5,125,9
Bonnie Doon Golf Club (NSW),Gold Women - Holes:1-9,36,38,136,9
Bonnie Doon Golf Club (NSW),Gold Women - Holes:10-18,36,34,120,9
Bonnie Doon Golf Club (NSW),Red Women - Holes:10-18,36,35.5,123,9
Bonnie Doon Golf Club (NSW),Black Men - Holes:1-9,37,37.5,140,9
Bonnie Doon Golf Club (NSW),Gold Men - Holes:1-9,37,34.5,125,9
Bonnie Doon Golf Club (NSW),White Men - Holes:1-9,37,37,138,9
Bonnie Doon Golf Club (NSW),Red Women - Holes:1-9,38,38,141,9
Bonnie Doon Golf Club (NSW),Black Men,71,72,134,18
Bonnie Doon Golf Club (NSW),Gold Men,71,66,119,18
Bonnie Doon Golf Club (NSW),White Men,71,70,128,18
Bonnie Doon Golf Club (NSW),Gold Women,74,72,128,18
Bonnie Doon Golf Club (NSW),Red Women,74,74,132,18
Bonville Golf Resort (NSW),Blue Men - Holes:1-9,35,36.5,140,9
Bonville Golf Resort (NSW),Red Women - Holes:1-9,35,36,141,9
Bonville Golf Resort (NSW),White Men - Holes:1-9,35,35,128,9
Bonville Golf Resort (NSW),Blue Men - Holes:10-18,37,38,139,9
